Date,USA,UK,FRA,DE,DJAI,FTSE 100,CAC40,DAX 30,year
2006/9/5,0.006737197,0.01250885,0.009943735,0.011839647,0.006647084,0.003772282,0.006301868,-0.008866609,52
2006/9/6,0.002651074,-0.00925076,-0.000659848,0.001742161,0.003801717,-0.006248789,-0.007706382,-0.015111931,53
2006/9/7,-0.001714598,0.008790249,-0.001321004,0.001304632,-0.000199262,0.003734428,-0.000365462,-0.008749513,54
2006/9/8,-0.001951982,-0.001382807,-0.008296049,-0.005665738,-0.001867343,-0.009485674,-4.52523E-05,-0.002176541,55
2006/9/11,-0.00422933,-0.004623217,-0.001000167,-0.001312049,-0.004089682,0.010179537,0.001676411,0.002601388,56
2006/9/12,-0.003380639,0.002776494,0.00565443,0.000874891,-0.008756102,0.011730084,0.008256213,0.011578519,57
2006/9/13,0.003066643,0.001385362,-0.002656926,-0.00394305,0.004341341,-0.012487193,-0.004420275,0.00681826,58
2006/9/14,-0.002830413,-0.01020417,-0.005669517,-0.007490672,-0.003272049,-0.004025394,0.002830178,0.002963722,59
2006/9/15,0.00078703,0.00325809,0.004005346,0.007490672,0.00088705,0.009742767,-0.007870816,-0.001942474,60
2006/9/18,0.011887213,0.013392722,0.025001302,0.024714026,0.011858723,0.005767895,0.007823828,0.001764685,61
2006/9/19,0.008977694,0.005935997,0.012590965,0.013188874,0.00858793,1.55226E-05,0.006793808,-0.011169794,62
2006/9/20,0.001847433,-0.006401485,-0.004179398,-0.002962965,0.000691905,-0.003681378,0.003542421,0.016521822,63
2006/9/21,0.005062914,0.002290952,0.003858526,0.00338553,0.004094839,0.007478355,0.001037415,0.00740688,64
2006/9/22,-0.004294156,0.002285715,-0.004180743,-0.002961711,-0.003205069,-0.003056539,0.000646454,-0.01156957,65
2006/9/25,-7.68492E-05,-0.006413215,-0.004198295,-0.004671913,-0.000459337,0.002659012,0.004548935,-0.000487709,66
2006/9/26,-0.002770511,-0.002761161,-0.005516808,-0.007263437,-0.003705321,0.003796757,0.010821747,0.004990558,67
2006/9/27,-0.000848078,0.00505632,0.001625752,0.00385192,0.00058047,-0.004229567,-0.004220651,0.006126798,68
2006/9/28,0.001233331,-0.001376463,0.000649562,-0.001282325,-0.001807114,0.001993767,-0.007147832,-0.000406624,69
2006/9/29,0.004764841,0.007775022,0.004858309,0.009789395,0.006004597,0.000887203,0.001323676,0.001190531,70
2006/10/2,0.001149381,0.002275314,0.009966326,0.004648223,0.00157821,0.001209281,0.003658948,0.00429926,71
2006/10/3,0.000612464,0.006343474,0.001901582,0.00168492,0.001140077,0.007731699,-0.010913128,-0.003091448,72
2006/10/4,-0.000153081,-0.003166707,-0.000942349,0,-0.00015463,0.005432971,-1.81451E-05,0.005927021,73
2006/10/5,0.005952853,0.006323418,0.003190813,0.004199922,0.007266297,0.004871128,0.01364039,0.00500638,74
2006/10/6,0.001900491,0.001349831,0.000318522,0.002929485,0.000447382,-0.004014005,0.013193,-0.004748832,75
2006/10/9,-0.00884894,-0.015862558,-0.016375386,-0.018132481,-0.00551509,0.004520225,-0.003398235,-0.001106141,76
2006/10/10,-0.004607949,-0.014262952,-0.01533222,-0.011986445,-0.006575904,0.00630241,0.007335979,0.000685705,77
2006/10/11,0.002844077,-0.001391143,0.000328677,-0.000430756,0.005339847,0.002794288,0.001433009,0.00132073,78
2006/10/12,0.000997353,-0.014018921,-0.000986355,0.004728141,0.000415113,-0.004461603,0.003898287,0.005852877,79
2006/10/13,0.009767342,0.020033281,0.012097581,0.014051753,0.008844811,0.004150828,-0.001511454,-0.000701799,80
2006/10/16,0.004016526,0.002303618,0.002920658,0.002111933,0.00392598,0.006404773,0.006260167,0.003279683,81
2006/10/17,7.56287E-05,0,0,0.002949233,-0.001380972,0.003047235,-0.002694588,-0.008425039,82
2006/10/18,-0.002043984,-0.001842469,-0.005523978,-0.005061166,0.002891527,-0.001021454,-0.009797846,0.007896875,83
2006/10/19,0.00136312,-0.002770085,0.00487568,0.003376956,-0.000499226,-0.003023452,0.001979125,0.006215651,84
2006/10/20,-0.002500475,-0.011157717,-0.006832628,-0.009739649,-0.00122013,0.003646202,0.001468857,0.00473754,85
2006/10/23,0.005296623,0.013005292,0.016513246,0.013525143,0.006243407,0.004003768,0.006821012,0.00071993,86
2006/10/24,-0.004841525,0.003684942,0.00224539,0.001258653,-0.006909087,-0.001044332,-0.003070927,0.002728828,87
2006/10/25,-0.0030379,-0.001840774,-0.004174031,-0.003359936,-0.002181299,-0.004081852,0.003898694,0.004053203,88
2006/10/26,0.007653002,0.005512187,0.002570696,0.0058725,0.005866441,0.010717251,-0.012589413,0.011772359,89
2006/10/27,0.008268859,0.002744741,0.004163337,0.001253919,0.008051598,0.009433361,0.002361897,-0.000698362,90
2006/10/30,0.001197067,0.002737228,0.001915709,0.001252348,0.001699586,-0.002688572,0.013809138,-0.001559177,91
2006/10/31,-0.00037393,0.001365809,0.007309742,0.004578572,0.002495762,-0.000311045,-0.002439332,0.005557564,92
2006/11/1,-0.000823138,-0.004103037,-0.001901744,-0.002078571,-0.003366172,-0.000729686,-0.008642087,0.003189039,93
